Name,EUR Notional,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Close Price
SANp,546494732.18487600,5825294,,,,,94.62000000,0.0
SUp,267582889.55938100,1729271,,,,,152.16000000,0.0
DHERd,142216050.780394000000,3135382,,,,,47.00000000,0.0
BNp,129241013.163105000000,2573466,,,,,50.64000000,0.0
BAYNd,115872042.618283000000,1825074,,,,,64.50000000,0.0
ROGz,113953556.632324557111,312757,,,,,380.30000000,0.0
SIEd,105640779.339127000000,836531,,,,,123.64000000,0.0
DTEd,94802061.118968000000,5514947,,,,,17.17800000,0.0
MCp,91071576.042045000000,140523,,,,,652.60000000,0.0
EUN2d,88308039.730000000000,2230001,,,,,39.60000000,0.0
HMBs,87580144.922632984901,6963704,,,,,130.16000000,0.0
DPWd,81430665.190515000000,1911975,,,,,41.86000000,0.0
SAPd,79490160.151267000000,794820,,,,,98.64000000,0.0
SHELLa,79109999.414442000000,3147597,,,,,25.05000000,0.0
NESNz,78639686.917559949104,665307,,,,,121.90000000,0.0
BASd,77228766.489093000000,1477658,,,,,51.53000000,0.0
MBGd,76454347.024968000000,1198924,,,,,63.11700000,0.0
NOVNz,76007561.312783595968,958730,,,,,81.94000000,0.0
ALVd,75769147.144001000000,347211,,,,,216.40000000,0.0
IBEe,74073882.327287000000,7467884,,,,,9.93800000,0.0
BARCl,72865744.906888050400,41447664,,,,,146.06000000,0.0
SANe,66314479.039837000000,20852392,,,,,3.15550000,0.0
IFXd,64623250.802478000000,2108053,,,,,30.10000000,0.0
LQDEl,62573289.902280130293,600000,,,,,115.26000000,0.0
UBSGz,61300185.652806107468,3435705,,,,,18.15500000,0.0
SGOp,59857794.740902000000,1106883,,,,,53.52000000,0.0
CLn,59424988.858125226203,863520,,,,,76.42000000,0.0
AIRd,59179535.373476000000,533905,,,,,110.24000000,0.0
EQNRo,58925710.772813056257,1725835,,,,,329.90000000,0.0
ADYENa,58237118.001637000000,32381,,,,,1789.00000000,0.0
